Molecule ChEMBL ID,Standard Value,Smiles
CHEMBL70178,40.0,COc1ccccc1N1CCN(Cc2ccc(CN3CCCC3=O)s2)CC1
CHEMBL3342874,12.02,COc1ccccc1N1CCN(CC2COC3(CCN(C(=O)Nc4ccccc4)CC3)O2)CC1
CHEMBL27013,0.166,COc1cc2nc(N(C)CCCCCCN(C)C(=O)c3ccco3)nc(N)c2cc1OC
CHEMBL4795065,2630.27,C=CC(=O)Nc1ccc2[nH]c(=O)n(C3CCN(Cc4ccc(-c5nc6cc[nH]c(=O)c6cc5-c5ccccc5)cc4)CC3)c2c1
CHEMBL82877,0.16,O=C1c2ccc([N+](=O)[O-])cc2S(=O)(=O)N1CCCCN1CCC(n2c(=O)oc3ccccc32)CC1
CHEMBL287791,0.7,CC1=C(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@@H](c2ccc(F)c(F)c2)CC(=O)N1C
CHEMBL417954,0.2512,O=c1[nH]cc(F)c(=O)n1CCCN1CCN(c2ccc(F)cc2OCC(F)(F)F)CC1
CHEMBL70751,18.62,CSc1ccc(Cl)cc1NCC1=NCCN1
CHEMBL144989,1.9,COC(=O)C1=C(C)NC(=O)N(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc(F)c(F)c1
CHEMBL423294,25.12,COc1cc2nc(N3CCN(C(=O)c4ccco4)[C@H]4CCCC[C@H]43)nc(N)c2cc1OC
CHEMBL27899,69.18,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc(OC(C)C)cc1
CHEMBL145334,2.1,CNC(=O)C1=C(C)NC(=O)N(C(=O)NCCCN2CCC(C(=O)OC)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1
CHEMBL2419771,1.995,COc1ccc2c(c1OCCNC[C@H]1COc3ccccc3O1)OCC2.Cl
CHEMBL2419772,16.98,COc1ccc2c(c1OCCNC[C@@H]1COc3ccccc3O1)OCC2.Cl
CHEMBL341665,0.3236,COc1cc2nc(N(C)CCCCCCN(C)C(=O)c3cccc(CN(C)C)c3)nc(N)c2cc1OC
CHEMBL95605,125892541179416.62,O=c1[nH]c2c([nH]c3ccccc32)c(=O)n1CCN1CCN2c3ccccc3OCC2C1
CHEMBL182998,0.36,COCC1=C(C(=O)OC)[C@H](c2ccc(F)c(F)c2)N(C(=O)NCCCN2CCC(c3ccccn3)CC2)C(=O)N1
CHEMBL12603,22.0,CC(C)Oc1ccccc1N1CCN(CCNC(=O)CN2CCCCCC2=O)CC1
CHEMBL75030,125.89,c1ccc2c(c1)CCCC2NC1=NCCO1
CHEMBL432026,1.7,CCC1=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C(c2ccc([N+](=O)[O-])cc2)C(C(N)=O)=C(COCCN)N1
CHEMBL12127,18.0,CC(C)Oc1ccccc1N1CCN(C/C=C/C(=O)CN2CCCCC2=O)CC1
CHEMBL3298749,1.096,COc1ccccc1N1CCN(CCn2c(=O)[nH]c3c(sc4ccc(NC(=O)CCC(=O)NCc5ccccc5)cc43)c2=O)CC1
CHEMBL3298019,1.698,COc1ccccc1N1CCN(CCn2c(=O)[nH]c3c(sc4ccc(NC(=O)CCCN(C)C)cc43)c2=O)CC1
CHEMBL142243,0.5,COCC1=C(C(=O)OC)C(c2ccc(F)c(F)c2)N(C(=O)NCCCN2CCC(C)(c3ccccc3)CC2)C(=O)N1
CHEMBL12202,38.0,CC(C)Oc1ccccc1N1CCN(CCOC(=O)CN2CCCCC2=O)CC1
CHEMBL2051956,0.1995,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@@H]1c1cccc([N+](=O)[O-])c1
CHEMBL2031737,10000.0,C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3ccc([N+](=O)[O-])cc3)ccc2o1
CHEMBL95253,3.0,CCNC(=O)C1=C(COCCN)NC(CC)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1
CHEMBL99879,1.1220184543019651e+17,O=c1[nH]c2c([nH]c3ccccc32)c(=O)n1CCN1CCN(c2ccccc2O)CC1
CHEMBL74342,14125.38,Brc1c(NC2=N[C@@H]3CCCC[C@@H]3N2)ccc2nccnc12
CHEMBL90184,19.0,O=C1NC(C(F)(F)F)=C(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@@H](c2ccc(F)c(F)c2)N1
CHEMBL2419765,177.83,COc1ccc2cc[nH]c2c1OCCNC[C@H]1COc2ccccc2O1
CHEMBL2419769,0.4898,COc1ccc2ccoc2c1OCCNC[C@H]1COc2ccccc2O1.Cl
CHEMBL482496,500.0,[3H]C([3H])([3H])Oc1cc(I)c(OC)cc1CCNCc1ccccc1OC([3H])([3H])[3H]
CHEMBL322688,13.0,O=C1CC2(CCN(CCc3cccc4ccccc34)CC2)Oc2ccc(NS(=O)(=O)Cc3ccccc3)cc21
CHEMBL72768,33.11,CSc1ccc(F)cc1NCC1=NCCN1
CHEMBL41844,3.6,COC(=O)C1(c2ccccc2)CCN(CCCNC(=O)C2=C(C)N=C(C)/C(=C(/O)OC)C2c2ccc([N+](=O)[O-])cc2)CC1
CHEMBL56,1000.0,CCCN(CCC)C1CCc2cccc(O)c2C1
CHEMBL55290,0.3162,Cc1n[nH]c(=O)n(CCCN2CCN(c3ccccc3OCC(F)(F)F)CC2)c1=O
CHEMBL79990,297.0,CC(C)Oc1ccccc1N1CCN(Cc2nc(CN3C(=O)c4ccccc4C3=O)co2)CC1
CHEMBL320397,616.0,COc1cc2c(cc1O)CCN1Cc3c(ccc(O)c3OC)C[C@@H]21
CHEMBL90453,2.2,CC(=O)N1C(=O)N(C)C(C)=C(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@H]1c1ccc(F)c(F)c1
CHEMBL2,0.58,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
CHEMBL90210,2.5,O=C1NC=C(C(=O)NCCCN2CCC(c3ccccn3)CC2)[C@@H](c2ccc(F)c(F)c2)N1
CHEMBL150696,460.0,CC1=C(C(N)=O)C(c2ccc([N+](=O)[O-])cc2)C(C(=O)NCCCN2CCC(C(=O)N(C)C)(c3ccccc3)CC2)=C(C)N1
CHEMBL151825,4.79,COC(=O)C1(c2ccccc2)CCN(CCCNC(=O)C2=C(C)N=C(C)/C(=C(/O)OCCC#N)C2c2ccc([N+](=O)[O-])cc2)CC1
CHEMBL341849,0.05,COC(=O)C1=C(C)NC(=O)N(C(=O)NCCCN2CCN(c3ccccc3[N+](=O)[O-])C[C@H]2C)C1c1ccc(F)c(F)c1
CHEMBL431631,6.5,COc1ccccc1CCN1CCC2(CC1)CC(=O)c1ccc(NS(C)(=O)=O)cc1O2
CHEMBL12529,20.0,CCOC(=O)C1CCC(=O)N1CC(=O)NCCN1CCN(c2ccccc2OC(C)C)CC1
CHEMBL279516,3.7,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1
CHEMBL356584,0.2,CCC1=C(C(N)=O)C(c2ccc(F)c(F)c2)N(C(=O)NCCCN2CCC(C(=O)OC)(c3ccccc3)CC2)C(=O)N1
CHEMBL327931,0.5248,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)NCCCN2CCC(c3ccccc3)CC2)C1c1ccc(Cl)c([N+](=O)[O-])c1
CHEMBL1910243,13.2,COc1ccccc1N1CCN(CCN(C(=O)c2ccc([18F])c(C)c2)c2ccccn2)CC1
CHEMBL42156,240.0,COC(=O)C1(c2ccccc2)CCN(CCCNC(=O)CCc2ccc([N+](=O)[O-])cc2)CC1
CHEMBL298579,5.8,N#CC1(c2ccccc2)CCN(CCCNC(=O)N2C(=O)NC3=C(C(=O)OC3)C2c2ccc(F)c(F)c2)CC1
CHEMBL432302,25.0,Cc1ccc(C(C(=O)NCCCN2CCC(C#N)(c3ccccn3)CC2)c2ccc(C)cc2)cc1
CHEMBL558890,3.388,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)[C@@H]4CCCC[C@@H]43)nc(N)c2cc1OC
CHEMBL393104,1.6,CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@H](NS(=O)(=O)c3ccc(Cl)cc3Cl)CC2)CC1
CHEMBL234650,3.9,CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@H](NS(=O)(=O)Cc3ccccc3)CC2)CC1
CHEMBL233582,3.0,CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@H](NS(=O)(=O)c3ccc(Cl)cc3F)CC2)CC1
CHEMBL234609,1.5,Cc1ccc(S(=O)(=O)N[C@H]2CC[C@H](N3CCN(c4ccccc4OC(C)C)CC3)CC2)cc1Cl
CHEMBL234422,1.0,COc1ccc([N+](=O)[O-])cc1S(=O)(=O)N[C@H]1CC[C@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1
CHEMBL399195,5.6,CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@@H](NS(=O)(=O)c3ccccc3F)CC2)CC1
CHEMBL234679,9.6,CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@@H](NS(=O)(=O)c3ccccc3C#N)CC2)CC1
CHEMBL42359,700.0,CNCC(O)c1cc(O)c(O)cc1F
CHEMBL179401,3.6,COc1ccccc1N1CCN(CCCNc2cc(O)nc(Nc3c(Cl)cccc3Cl)n2)CC1
CHEMBL385371,66.07,COc1ccc2ccccc2c1OCCNC[C@H]1COc2cc3c(cc2O1)CCCC3.Cl
CHEMBL25554,0.4266,COc1cccc(OC)c1OCCNCC1COc2ccccc2O1
CHEMBL56438,130.0,O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2cc(Cl)ccc2Cl)CC1
CHEMBL1289267,1258.93,O=C1O[C@]2(CC[C@H](c3nc4cc(OC(F)(F)F)ccc4[nH]3)CC2)CN1c1ccccc1
CHEMBL1289154,199.53,O=C1OC2(CCN(c3nc4cc(OC(F)(F)F)ccc4[nH]3)CC2)CN1c1ccccc1
CHEMBL123349,449.0,CN1CCc2cccc(Cl)c2CC1
CHEMBL305928,1995.26,C1CCCC(NC2=NCCO2)CC1
CHEMBL492834,1000.0,COc1cccc(OC)c1OCCNC[C@@H]1CO[C@H](c2ccccc2)CO1
CHEMBL358595,0.2,CCC1=C(C(N)=O)C(c2ccc([N+](=O)[O-])cc2)N(C(=O)NCCCN2CCC(C(=O)OC)(c3ccccc3)CC2)C(=O)N1
CHEMBL358595,1.9,CCC1=C(C(N)=O)C(c2ccc([N+](=O)[O-])cc2)N(C(=O)NCCCN2CCC(C(=O)OC)(c3ccccc3)CC2)C(=O)N1
CHEMBL142383,0.4,COC(=O)C1=C(C)NC(=O)N(C(=O)NCCCN2CCC(C(=O)OC)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1
CHEMBL99142,3.02,COc1ccccc1N1CCN(CCn2c(C)nc3c4ccccc4nc-3c2O)CC1
CHEMBL25537,100.0,CC(=O)CC(=O)NCCCN1CCC(c2ccccc2)(c2ccccc2)CC1
CHEMBL142957,0.3,CCOC(=O)C1=C(C)NC(=O)N(C(=O)NCCCN2CCC(C(=O)OC)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1
CHEMBL93523,20.0,N#Cc1ccccc1C1CCN(CCCNC(=O)C2=C(C(F)(F)F)NC(=O)N[C@@H]2c2ccc(F)c(F)c2)CC1
CHEMBL319345,48.0,N#CCc1ccc(N2CCN(CCn3c(=O)[nH]c4c([nH]c5ccccc54)c3=O)CC2)cc1
CHEMBL540542,43.65,CSc1ccccc1NCC1=NCCN1.Cl
CHEMBL94167,0.17,O=C1NC=C(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@@H](c2ccc(F)c(F)c2)N1
CHEMBL4458714,7.244,COc1ccccc1OCCNCCC1COC(c2ccccc2)(c2ccccc2)O1.O=C(O)C(=O)O
CHEMBL555146,10000.0,C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3ccc(F)cc3)ccc2o1
CHEMBL55645,7.943,O=c1[nH]cc(CO)c(=O)n1CCCN1CCN(c2ccc(F)cc2OCC(F)(F)F)CC1
CHEMBL362954,19.9,COc1cccc(N(NC2=NCCN2)c2ccc(C)cc2)c1
CHEMBL420184,14.0,COc1ccccc1N1CCN(Cc2ccc(CN3CCCCC3=O)s2)CC1
CHEMBL25467,36.0,C=Cc1sc2ccc(Cl)c3c2c1CN(C)CC3
CHEMBL66823,419.0,COc1ccccc1N1CCN(Cc2ccc(CN3CCCCC3O)s2)CC1
CHEMBL543741,42.66,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1.Cl.Cl
CHEMBL4091168,154.88,c1ccc(C2(c3ccccc3)COCC(CNCCOc3ccccn3)O2)cc1
CHEMBL3582270,0.3,CCN(CC)c1ccc2cc(-n3cc(C(=O)N4CCN(c5nc(N)c6cc(OC)c(OC)cc6n5)CC4)nn3)c(=O)oc2c1
CHEMBL3342863,11.75,COc1ccccc1N1CCN(CC2COC3(CCN(C(=O)C4CCCN4)CC3)O2)CC1
CHEMBL282214,3.981,COc1ccc(CCNCC2CCc3ccccc3C2)cc1
CHEMBL344432,0.55,COc1cccc2c1CCCC2CCCNCCOc1ccccn1
CHEMBL192099,4100.0,O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2ccc(F)c(F)c2)CC1
CHEMBL12062,0.65,CC(C)Oc1ccccc1N1CCN(CCCNC(=O)CN2CCCCC2=O)CC1
CHEMBL72753,5128.61,Clc1c(NC2=NCCN2)ccc2nccnc12
CHEMBL145553,1.7,COCC1=C(C(=O)OC)C(c2cc(F)c(F)c(F)c2)N(C(=O)N2CCC(N3CCC(C(=O)OC)(c4ccccc4)CC3)CC2)C(=O)N1
CHEMBL1630941,19.05,COc1ccc(C[C@@H](C)NC[C@H]2Oc3ccccc3O[C@H]2C)cc1S(N)(=O)=O
CHEMBL2111563,13.0,C[C@H]1OC(=O)N(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@@H]1c1ccc(F)c(F)c1
CHEMBL142635,5.888,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1
CHEMBL418531,83.0,CC(C)Oc1cc(F)ccc1N1CCN(CCNC(=O)CN2CCCCC2=O)CC1
CHEMBL13647,380.19,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1
CHEMBL4070363,169.82,Cc1ccccc1OCCNCC1COCC(c2ccccc2)(c2ccccc2)O1
CHEMBL2312227,27.54,COc1ccccc1OCCNCC1COCC(c2ccccc2)(c2ccccc2)O1
CHEMBL4129291,0.871,COc1cc2nc(N3CCN(C(=O)COc4c(OC)cccc4C(C)C)[C@H]4CCCC[C@H]43)nc(N)c2cc1OC
CHEMBL298838,1.0,O=c1[nH]cc(Cl)c(=O)n1CCCN1CCN(c2ccc(F)cc2OCC(F)(F)F)CC1
CHEMBL238402,54.0,COc1ccc(S(=O)(=O)N[C@H]2CC[C@H](N3CCN(c4ccccc4OCC(F)(F)F)CC3)CC2)cc1OC
CHEMBL228606,69.0,COc1ccc(S(=O)(=O)N[C@H]2CC[C@H](N3CCC(c4ccccc4OCCF)CC3)CC2)cc1OC
CHEMBL67552,0.41,CC(C)Oc1ccccc1N1CCN(CCCNC(=O)c2ccc3c(c2)C(=O)N(c2cccc(F)c2)C3=O)CC1
CHEMBL611,4.0,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
CHEMBL13647,130.0,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1
CHEMBL556782,3981.07,Cc1ccc(C(=O)N2CCN(c3ccc(OC4CCN(C5CCC5)CC4)cc3)C(=O)C2)cc1.Cl
CHEMBL492785,407.38,c1ccc(OCCNC[C@@H]2COC[C@@H](c3ccccc3)O2)cc1
CHEMBL13647,380.19,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1
CHEMBL493285,169.82,c1ccc(OCCNC[C@@H]2COCC(c3ccccc3)(c3ccccc3)O2)cc1
CHEMBL4171491,120.23,COc1cc2nc(N3CCC[C@@H](NC4=CC(=O)c5ccccc5C4=O)C3)nc(N)c2cc1OC
