Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL194701,15.85,CN1CCN(c2nccc3cc4c(cc23)N(C(=O)c2ccccc2C(F)(F)F)CC4)CC1,Scientific Literature,Mean binding affinity towards 5-hydroxytryptamine 1B receptor using [3H]5-HT or [3H]-8-OH-DPAT as the radioligand,B,Homo sapiens,,Bioorg Med Chem Lett,2005,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.8,440.47,4.21
CHEMBL419547,590.0,CN1CCC(c2c[nH]c3ccc(NC(=O)c4cccc(C#N)c4)nc23)CC1,Scientific Literature,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1B receptor,B,,,J Med Chem,2003,Serotonin 1b (5-HT1b) receptor,Ki,nM,6.23,359.43,3.5
CHEMBL184597,2300.0,CN1CCC(c2n[nH]c3ccc(NC(=O)c4ccc(F)cc4)cc23)CC1,Scientific Literature,In vitro binding affinity for human 5-hydroxytryptamine 1B receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2004,Serotonin 1b (5-HT1b) receptor,Ki,nM,5.64,352.41,3.76
CHEMBL494806,19.95,CC(=O)Nc1cccc(CN2CCN(CCOc3cccc4nc(C)ccc34)CC2)c1,Scientific Literature,Displacement of [3H]5HT from human recombinant 5HT1B receptor,B,Homo sapiens,,J Med Chem,2008,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.7,418.54,3.7
CHEMBL497963,1.995,Cc1ccc2c(OCCN3CCC(Cc4cccc(NS(C)(=O)=O)c4)CC3)cccc2n1,Scientific Literature,Displacement of [3H]5HT from human recombinant 5HT1B receptor,B,Homo sapiens,,J Med Chem,2008,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.7,453.61,4.25
CHEMBL325131,18.0,COc1ccc(NC(=O)N2CCN(c3ccccc3)CC2)cc1N1CCN(C)CC1.O=C(O)/C=C/C(=O)O,Scientific Literature,Affinity for 5-hydroxytryptamine 1B receptor subtype,B,Homo sapiens,,Bioorg Med Chem Lett,1997,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.75,525.61,2.8
CHEMBL113994,2.4,COc1ccc(NC(=S)N2CC=C(c3ccc4[nH]cc(C[C@H]5CCCN5C)c4c3)CC2)cc1,Scientific Literature,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor,B,,,Bioorg Med Chem Lett,2003,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.62,460.65,5.3
CHEMBL275854,250.0,CC(N)Cc1c[nH]c2ccc(O)cc12,Scientific Literature,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,B,,,J Med Chem,1996,Serotonin 1b (5-HT1b) receptor,Ki,nM,6.6,190.25,1.76
CHEMBL248407,25.12,Cc1ccc2c(OCCN3CCN(Cc4ccc5c(c4)N(CCc4ccccc4)C(=O)CO5)CC3)cccc2n1,Scientific Literature,Displacement of [3H]5-HT from human recombinant 5HT1B receptor expressed in CHO cells,B,Homo sapiens,,Bioorg Med Chem Lett,2007,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.6,536.68,4.71
CHEMBL248456,39.81,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)N(C(C)C)C(=O)CO5)CC3)cccc2n1,Scientific Literature,Displacement of [3H]5-HT from human recombinant 5HT1B receptor expressed in CHO cells,B,Homo sapiens,,Bioorg Med Chem Lett,2007,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.4,473.62,5.01
