Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL482496,500.0,[3H]C([3H])([3H])Oc1cc(I)c(OC)cc1CCNCc1ccccc1OC([3H])([3H])[3H],Scientific Literature,Binding affinity to histamine H2 receptor,B,,,Bioorg Med Chem,2008.0,Histamine H2 receptor,Ki,nM,,439.33,3.65
CHEMBL105267,7413.1,N#Cc1ccc(-c2ccc(OCCCN3CC[C@@H](N)C3)cc2)cc1,Scientific Literature,Binding affinity at human cortical Histamine 2 receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,5.13,321.42,3.03
CHEMBL63631,20892.96,CCCCCC(=O)c1ccc(OCCCN2CCN(S(=O)(=O)C(C)C)CC2)cc1,Scientific Literature,Binding affinity for the human Histamine H2 receptor,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,4.68,424.61,3.57
CHEMBL105515,23988.33,CC1CCCC(C)N1CCCOc1ccc(-c2ccc(C#N)cc2)cc1,Scientific Literature,Binding affinity to the human cortical histamine H2 receptor,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,4.62,348.49,5.26
CHEMBL515472,2428.0,COc1c(OCCF)cccc1[C@H](O)C1CCN(CCc2ccc(F)cc2)CC1,Scientific Literature,Inhibition of human cloned histamine H2 receptor by competitive binding experiment,B,Homo sapiens,,Bioorg Med Chem,2009.0,Histamine H2 receptor,Ki,nM,5.62,405.49,4.17
CHEMBL431172,83176.38,CCCCCC(=O)c1ccc(OCCCN2CCN(S(C)(=O)=O)CC2)cc1,Scientific Literature,Binding affinity for the human Histamine H2 receptor,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,4.08,396.55,2.8
CHEMBL4514672,823.0,CC1=NC2(CCN(C)CC2)C(=O)N(c2c(C)cccc2C)C1=O,Scientific Literature,Binding affinity to human histamine 2 receptor expressed in HEK cells by radioligand binding assay,B,Homo sapiens,,Eur J Med Chem,2019.0,Histamine H2 receptor,Ki,nM,6.08,313.4,2.1
CHEMBL175782,10000.0,CN1CCC(Cc2c[nH]cn2)CC1,Scientific Literature,Displacement of [125I]aminopotentidine binding to CHO cell membranes expressing human histamine H2 receptor,B,Homo sapiens,,J Med Chem,2005.0,Histamine H2 receptor,Ki,nM,,179.27,1.29
CHEMBL1923729,10000.0,C[C@@H]1CCCN1CCCOc1ccc(-c2ccc(=O)n(C)c2)cc1,Scientific Literature,Binding affinity to human histamine H2 receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2011.0,Histamine H2 receptor,Ki,nM,,326.44,3.31
CHEMBL2432051,1733.0,COc1cc(CN[C@H]2C3C4CC5C6C4CC3C6C52)cc(OC)c1OC,Scientific Literature,Inhibition of histamine H2 receptor (unknown origin) by PDSP assay,B,Homo sapiens,,Bioorg Med Chem,2013.0,Histamine H2 receptor,Ki,nM,5.76,341.45,2.95
CHEMBL2432045,3471.0,c1ccc(CN[C@H]2C3C4CC5C6C4CC3C6C52)cc1,Scientific Literature,Inhibition of histamine H2 receptor (unknown origin) by PDSP assay,B,Homo sapiens,,Bioorg Med Chem,2013.0,Histamine H2 receptor,Ki,nM,5.46,251.37,2.92
CHEMBL5200771,5.129,CCCCCCNC(=O)/N=C(\N)NCCCc1nnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,Scientific Literature,Displacement of [3H]UR-DE257 from human histamine H2 receptor stably expressed in baculovirus infected Sf9 cell membrane co-expressing RG-Salpha S incubated for 60 mins by scintillation counting analysis,B,Homo sapiens,,J Med Chem,2021.0,Histamine H2 receptor,Ki,nM,8.29,555.5,1.25
CHEMBL5186770,389.05,CCCCCCNC(=O)/N=C(\N)NCCCc1nnc(N)o1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,Scientific Literature,Displacement of [3H]UR-DE257 from human histamine H2 receptor stably expressed in baculovirus infected Sf9 cell membrane co-expressing RG-Salpha S incubated for 60 mins by scintillation counting analysis,B,Homo sapiens,,J Med Chem,2021.0,Histamine H2 receptor,Ki,nM,6.41,539.43,0.78
CHEMBL5206565,5.012,N/C(=N\C(=O)NCc1ccccc1)NCCCc1nnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,Scientific Literature,Displacement of [3H]UR-DE257 from human histamine H2 receptor stably expressed in baculovirus infected Sf9 cell membrane co-expressing RG-Salpha S incubated for 60 mins by scintillation counting analysis,B,Homo sapiens,,J Med Chem,2021.0,Histamine H2 receptor,Ki,nM,8.3,561.47,0.87
CHEMBL157101,21507.0,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,DrugMatrix,DRUGMATRIX: Histamine H2 radioligand binding (ligand: [125I] Aminopotentidine),B,,,,,Histamine H2 receptor,Ki,nM,4.67,531.44,4.21
CHEMBL3104093,933.25,CN1CCc2c(c3cccc4c3n2CCc2ccccc2-4)C1,Scientific Literature,Displacement of [3H]Cimetidine from histamine H2 receptor (unknown origin),B,Homo sapiens,,Bioorg Med Chem Lett,2014.0,Histamine H2 receptor,Ki,nM,6.03,288.39,3.85
CHEMBL4748908,144.54,CN1CCN(c2ccnc(NCCc3ccccc3)n2)CC1,SGC Frankfurt - Donated Chemical Probes,GPCRScan assay: inhibition of H2,B,Homo sapiens,,,2021.0,Histamine H2 receptor,Ki,nM,6.84,297.41,1.88
CHEMBL2426097,10000.0,O=C(O)CCC(=O)N1N=C(c2c(-c3ccc(Cl)cc3)c3ccccc3[nH]c2=O)CC1c1ccc(Cl)cc1,Scientific Literature,Inhibition of histamine H2 receptor (unknown origin),B,Homo sapiens,,J Med Chem,2013.0,Histamine H2 receptor,Ki,nM,,534.4,6.04
CHEMBL4856005,69.18,Cc1nc(N)sc1CCCN/C(N)=N/C(=O)NCc1ccccc1,Scientific Literature,Displacement of [3H]UR-DE257 from human histamine H2 receptor expressed in sf9 insect cell membranes co-expressing GSalphaS incubated for 60 mins by microbeta scintillation counting method,B,Homo sapiens,,Eur J Med Chem,2021.0,Histamine H2 receptor,Ki,nM,7.16,346.46,1.78
CHEMBL4865965,10.47,Cc1nc(N)sc1CCCN/C(N)=N/C(=O)NCc1ccco1,Scientific Literature,Displacement of [3H]UR-DE257 from human histamine H2 receptor expressed in sf9 insect cell membranes co-expressing GSalphaS incubated for 60 mins by microbeta scintillation counting method,B,Homo sapiens,,Eur J Med Chem,2021.0,Histamine H2 receptor,Ki,nM,7.98,336.42,1.37
